mechanic,stage,native_entry_point,player_context_requirements,authoritative_owner,client_suppression_application_hook,persistence_representation,baseline_evidence,multiplayer_evidence,intentional_policy_differences,status,milestone,acceptance_tests
movement,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
eating and hunger,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
native combat and rewards,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
social actions and relationships,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
packs and nests,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
spawn and despawn,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
unlocks and DNA,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
mating and editor return,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
death and respawn,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
distant players and camera activation,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
species progress within stage,Creature,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M11,"T02,T03,T05,T06,T11"
native control,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
collision,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
food and contested consumption,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
attacks and defenses,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
growth and scale changes,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
part unlocks,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
native editor return,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
death and restart,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
stage progress and canonical planet reference,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
multiple players in same simulation,Cell,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M12,"T03,T05,T06,T11"
unit selection and commands,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
gathering and food storage,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
tools and buildings,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
native population,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
combat,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
instruments and social actions,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
gifts and relationships,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
tribe progress,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
NPC tribe AI and player permissions,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
rebuilding and editor configuration,Tribal,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M13,"T02,T03,T05,T11"
city ownership and management,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
buildings and native production,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
resource nodes,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
vehicle creation and control,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
land sea and air movement,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
military interactions,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
economic purchase and trade,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
religious interactions,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
